tenant_id,date,gas_m3,water_m3,electricity_kwh,transaction_id,amount,tenor,addres,status,tenant_name,tenant_email,tenant_phone,tenant_address,industry,location,efficiency
T007,2024-01-04,629,38,1497,,,,,,"Burke, Griffin and Clay",gpeterson@example.org,843.412.6925,"0281 Jones Turnpike Apt. 672
Lake Wanda, SC 29013",Tech,Bogor,
T007,2024-01-05,513,21,3435,TRX75,449375.0,6.0,Cikarang,No-Default,"Burke, Griffin and Clay",gpeterson@example.org,843.412.6925,"0281 Jones Turnpike Apt. 672
Lake Wanda, SC 29013",Tech,Bogor,130.82241630276565
T008,2024-01-01,879,76,3183,,,,,,Maldonado Group,comptonmatthew@example.net,8057284454,"56916 Harmon Shoals
East Gregory, SD 71834",Manufacturing,Bogor,
T008,2024-01-02,591,98,2980,,,,,,Maldonado Group,comptonmatthew@example.net,8057284454,"56916 Harmon Shoals
East Gregory, SD 71834",Manufacturing,Bogor,
T008,2024-01-03,530,35,4030,,,,,,Maldonado Group,comptonmatthew@example.net,8057284454,"56916 Harmon Shoals
East Gregory, SD 71834",Manufacturing,Bogor,
T008,2024-01-04,590,63,2944,,,,,,Maldonado Group,comptonmatthew@example.net,8057284454,"56916 Harmon Shoals
East Gregory, SD 71834",Manufacturing,Bogor,
T008,2024-01-05,359,32,2759,TRX85,65856.0,12.0,Bandung,No-Default,Maldonado Group,comptonmatthew@example.net,8057284454,"56916 Harmon Shoals
East Gregory, SD 71834",Manufacturing,Bogor,23.869517941283075
T009,2024-01-01,615,41,2893,,,,,,Stone-Reed,jonesjill@example.org,(819)228-5286,"79538 Jaclyn Inlet Apt. 851
West Michellebury, CO 48146",Tech,Bogor,
T009,2024-01-02,110,88,4915,,,,,,Stone-Reed,jonesjill@example.org,(819)228-5286,"79538 Jaclyn Inlet Apt. 851
West Michellebury, CO 48146",Tech,Bogor,
T009,2024-01-03,861,64,3785,,,,,,Stone-Reed,jonesjill@example.org,(819)228-5286,"79538 Jaclyn Inlet Apt. 851
West Michellebury, CO 48146",Tech,Bogor,
T009,2024-01-04,511,76,4344,,,,,,Stone-Reed,jonesjill@example.org,(819)228-5286,"79538 Jaclyn Inlet Apt. 851
West Michellebury, CO 48146",Tech,Bogor,
T009,2024-01-05,845,30,1203,TRX95,396108.0,3.0,Cikarang,Default,Stone-Reed,jonesjill@example.org,(819)228-5286,"79538 Jaclyn Inlet Apt. 851
West Michellebury, CO 48146",Tech,Bogor,329.26683291770576
T010,2024-01-01,52,91,3359,,,,,,Kim Group,amber68@example.org,001-627-772-4406x80198,"122 Joyce Drive
East Kyle, PR 03960",FMCG,Surabaya,
T010,2024-01-02,564,70,4693,,,,,,Kim Group,amber68@example.org,001-627-772-4406x80198,"122 Joyce Drive
East Kyle, PR 03960",FMCG,Surabaya,
T010,2024-01-03,985,47,3677,,,,,,Kim Group,amber68@example.org,001-627-772-4406x80198,"122 Joyce Drive
East Kyle, PR 03960",FMCG,Surabaya,
T010,2024-01-04,695,38,1917,,,,,,Kim Group,amber68@example.org,001-627-772-4406x80198,"122 Joyce Drive
East Kyle, PR 03960",FMCG,Surabaya,
T010,2024-01-05,675,72,4255,TRX105,463656.0,6.0,Cikarang,No-Default,Kim Group,amber68@example.org,001-627-772-4406x80198,"122 Joyce Drive
East Kyle, PR 03960",FMCG,Surabaya,108.96733254994125
T011,2024-01-01,953,24,2604,,,,,,Freeman LLC,staylor@example.org,(836)505-8200x170,"117 White Oval Apt. 262
Powersshire, LA 38804",Utilities,Cikarang,
T011,2024-01-02,513,54,511,,,,,,Freeman LLC,staylor@example.org,(836)505-8200x170,"117 White Oval Apt. 262
Powersshire, LA 38804",Utilities,Cikarang,
T011,2024-01-03,882,88,1599,,,,,,Freeman LLC,staylor@example.org,(836)505-8200x170,"117 White Oval Apt. 262
Powersshire, LA 38804",Utilities,Cikarang,
T011,2024-01-04,914,16,3857,,,,,,Freeman LLC,staylor@example.org,(836)505-8200x170,"117 White Oval Apt. 262
Powersshire, LA 38804",Utilities,Cikarang,
T011,2024-01-05,591,96,3843,TRX115,253782.0,3.0,Bogor,No-Default,Freeman LLC,staylor@example.org,(836)505-8200x170,"117 White Oval Apt. 262
Powersshire, LA 38804",Utilities,Cikarang,66.03747072599532
T012,2024-01-01,960,80,1784,,,,,,Russell-Williamson,jeremysims@example.com,(458)646-0106,"08572 Kelly Loaf
Victoriaburgh, MS 93131",Energy,Bogor,
T012,2024-01-02,459,93,1217,,,,,,Russell-Williamson,jeremysims@example.com,(458)646-0106,"08572 Kelly Loaf
Victoriaburgh, MS 93131",Energy,Bogor,
T012,2024-01-03,697,41,501,,,,,,Russell-Williamson,jeremysims@example.com,(458)646-0106,"08572 Kelly Loaf
Victoriaburgh, MS 93131",Energy,Bogor,
T012,2024-01-04,853,12,4041,,,,,,Russell-Williamson,jeremysims@example.com,(458)646-0106,"08572 Kelly Loaf
Victoriaburgh, MS 93131",Energy,Bogor,
T012,2024-01-05,760,83,3017,TRX125,110712.0,6.0,Jakarta,No-Default,Russell-Williamson,jeremysims@example.com,(458)646-0106,"08572 Kelly Loaf
Victoriaburgh, MS 93131",Energy,Bogor,36.696055684454755
T013,2024-01-01,995,59,520,,,,,,Hall PLC,davidbaker@example.org,6572583831,"02006 Ryan Mews
Torresfurt, UT 41441",Manufacturing,Jakarta,
T013,2024-01-02,651,19,2777,,,,,,Hall PLC,davidbaker@example.org,6572583831,"02006 Ryan Mews
Torresfurt, UT 41441",Manufacturing,Jakarta,
T013,2024-01-03,476,44,2791,,,,,,Hall PLC,davidbaker@example.org,6572583831,"02006 Ryan Mews
Torresfurt, UT 41441",Manufacturing,Jakarta,
T013,2024-01-04,54,32,511,,,,,,Hall PLC,davidbaker@example.org,6572583831,"02006 Ryan Mews
Torresfurt, UT 41441",Manufacturing,Jakarta,
T013,2024-01-05,493,81,4579,TRX135,116015.0,12.0,Jakarta,No-Default,Hall PLC,davidbaker@example.org,6572583831,"02006 Ryan Mews
Torresfurt, UT 41441",Manufacturing,Jakarta,25.33631797335663
T014,2024-01-01,219,56,3636,,,,,,Jackson and Sons,jhensley@example.com,8476984334,"582 Jeffrey Vista Suite 920
Dylanport, ID 41376",Utilities,Jakarta,
T014,2024-01-02,758,73,4160,,,,,,Jackson and Sons,jhensley@example.com,8476984334,"582 Jeffrey Vista Suite 920
Dylanport, ID 41376",Utilities,Jakarta,
T014,2024-01-03,24,86,3231,,,,,,Jackson and Sons,jhensley@example.com,8476984334,"582 Jeffrey Vista Suite 920
Dylanport, ID 41376",Utilities,Jakarta,
T014,2024-01-04,801,15,1614,,,,,,Jackson and Sons,jhensley@example.com,8476984334,"582 Jeffrey Vista Suite 920
Dylanport, ID 41376",Utilities,Jakarta,
T014,2024-01-05,33,93,1436,TRX145,499043.0,3.0,Surabaya,Default,Jackson and Sons,jhensley@example.com,8476984334,"582 Jeffrey Vista Suite 920
Dylanport, ID 41376",Utilities,Jakarta,347.52298050139274
T015,2024-01-01,581,39,2752,,,,,,"Frazier, Moore and Shields",caleb15@example.org,(686)910-0305x517,"43094 Gonzalez Port
East Theresa, PR 26475",Manufacturing,Cikarang,
T015,2024-01-02,504,37,4299,,,,,,"Frazier, Moore and Shields",caleb15@example.org,(686)910-0305x517,"43094 Gonzalez Port
East Theresa, PR 26475",Manufacturing,Cikarang,
T015,2024-01-03,764,11,3612,,,,,,"Frazier, Moore and Shields",caleb15@example.org,(686)910-0305x517,"43094 Gonzalez Port
East Theresa, PR 26475",Manufacturing,Cikarang,
T015,2024-01-04,556,71,578,,,,,,"Frazier, Moore and Shields",caleb15@example.org,(686)910-0305x517,"43094 Gonzalez Port
East Theresa, PR 26475",Manufacturing,Cikarang,
T015,2024-01-05,621,87,1153,TRX155,131731.0,6.0,Surabaya,No-Default,"Frazier, Moore and Shields",caleb15@example.org,(686)910-0305x517,"43094 Gonzalez Port
East Theresa, PR 26475",Manufacturing,Cikarang,114.25065047701648
T016,2024-01-01,408,36,4281,,,,,,Kim-Flores,harveydavid@example.com,280.756.8668x457,"995 Chris Isle
Briggston, NV 94165",Utilities,Surabaya,
T016,2024-01-02,990,81,4707,,,,,,Kim-Flores,harveydavid@example.com,280.756.8668x457,"995 Chris Isle
Briggston, NV 94165",Utilities,Surabaya,
T016,2024-01-03,549,44,1088,,,,,,Kim-Flores,harveydavid@example.com,280.756.8668x457,"995 Chris Isle
Briggston, NV 94165",Utilities,Surabaya,
T016,2024-01-04,472,81,2874,,,,,,Kim-Flores,harveydavid@example.com,280.756.8668x457,"995 Chris Isle
Briggston, NV 94165",Utilities,Surabaya,
T016,2024-01-05,170,46,615,TRX165,64472.0,3.0,Bogor,Default,Kim-Flores,harveydavid@example.com,280.756.8668x457,"995 Chris Isle
Briggston, NV 94165",Utilities,Surabaya,104.83252032520325
T017,2024-01-01,649,65,3881,,,,,,Taylor PLC,elizabethrodriguez@example.org,930-843-9008,"Unit 4203 Box 8597
DPO AP 41062",Manufacturing,Surabaya,
T017,2024-01-02,887,98,1398,,,,,,Taylor PLC,elizabethrodriguez@example.org,930-843-9008,"Unit 4203 Box 8597
DPO AP 41062",Manufacturing,Surabaya,
T017,2024-01-03,802,87,2148,,,,,,Taylor PLC,elizabethrodriguez@example.org,930-843-9008,"Unit 4203 Box 8597
DPO AP 41062",Manufacturing,Surabaya,
T017,2024-01-04,272,26,1648,,,,,,Taylor PLC,elizabethrodriguez@example.org,930-843-9008,"Unit 4203 Box 8597
DPO AP 41062",Manufacturing,Surabaya,
T017,2024-01-05,646,67,3493,TRX175,333857.0,6.0,Cikarang,Default,Taylor PLC,elizabethrodriguez@example.org,930-843-9008,"Unit 4203 Box 8597
DPO AP 41062",Manufacturing,Surabaya,95.57887202977383
T018,2024-01-01,852,94,3730,,,,,,Chandler-Perez,sueharmon@example.com,429.245.5719x085,"415 Gary Mountain
Lake Heather, WI 40605",FMCG,Bogor,
T018,2024-01-02,36,12,4727,,,,,,Chandler-Perez,sueharmon@example.com,429.245.5719x085,"415 Gary Mountain
Lake Heather, WI 40605",FMCG,Bogor,
T018,2024-01-03,292,58,500,,,,,,Chandler-Perez,sueharmon@example.com,429.245.5719x085,"415 Gary Mountain
Lake Heather, WI 40605",FMCG,Bogor,
T018,2024-01-04,319,33,1910,,,,,,Chandler-Perez,sueharmon@example.com,429.245.5719x085,"415 Gary Mountain
Lake Heather, WI 40605",FMCG,Bogor,
T018,2024-01-05,441,93,2657,TRX185,259686.0,6.0,Bogor,No-Default,Chandler-Perez,sueharmon@example.com,429.245.5719x085,"415 Gary Mountain
Lake Heather, WI 40605",FMCG,Bogor,97.73654497553632
T019,2024-01-01,995,57,1473,,,,,,Edwards-Johnson,emays@example.net,(384)786-1936,"0675 Johnathan Ranch Suite 406
Michaeltown, IA 63444",Utilities,Surabaya,
T019,2024-01-02,574,90,4646,,,,,,Edwards-Johnson,emays@example.net,(384)786-1936,"0675 Johnathan Ranch Suite 406
Michaeltown, IA 63444",Utilities,Surabaya,
T019,2024-01-03,225,69,2102,,,,,,Edwards-Johnson,emays@example.net,(384)786-1936,"0675 Johnathan Ranch Suite 406
Michaeltown, IA 63444",Utilities,Surabaya,
T019,2024-01-04,261,45,1709,,,,,,Edwards-Johnson,emays@example.net,(384)786-1936,"0675 Johnathan Ranch Suite 406
Michaeltown, IA 63444",Utilities,Surabaya,
T019,2024-01-05,456,15,4292,TRX195,387755.0,3.0,Jakarta,Default,Edwards-Johnson,emays@example.net,(384)786-1936,"0675 Johnathan Ranch Suite 406
Michaeltown, IA 63444",Utilities,Surabaya,90.34366262814538
T020,2024-01-01,484,37,3510,,,,,,"Lee, Craig and Armstrong",usharp@example.net,693.637.4236x055,"421 Matthew Ranch Apt. 960
Grahamville, WA 58850",Utilities,Bandung,
T020,2024-01-02,179,42,1192,,,,,,"Lee, Craig and Armstrong",usharp@example.net,693.637.4236x055,"421 Matthew Ranch Apt. 960
Grahamville, WA 58850",Utilities,Bandung,
T020,2024-01-03,537,86,4225,,,,,,"Lee, Craig and Armstrong",usharp@example.net,693.637.4236x055,"421 Matthew Ranch Apt. 960
Grahamville, WA 58850",Utilities,Bandung,
T020,2024-01-04,309,54,2456,,,,,,"Lee, Craig and Armstrong",usharp@example.net,693.637.4236x055,"421 Matthew Ranch Apt. 960
Grahamville, WA 58850",Utilities,Bandung,
T020,2024-01-05,119,88,1387,TRX205,398064.0,6.0,Surabaya,No-Default,"Lee, Craig and Armstrong",usharp@example.net,693.637.4236x055,"421 Matthew Ranch Apt. 960
Grahamville, WA 58850",Utilities,Bandung,286.99639509733237
T021,2024-01-01,903,46,2472,,,,,,Mcdaniel-Taylor,ifisher@example.org,+1-857-526-3479,"USNV Underwood
FPO AA 08624",Energy,Cikarang,
T021,2024-01-02,727,71,1892,,,,,,Mcdaniel-Taylor,ifisher@example.org,+1-857-526-3479,"USNV Underwood
FPO AA 08624",Energy,Cikarang,
T021,2024-01-03,127,58,807,,,,,,Mcdaniel-Taylor,ifisher@example.org,+1-857-526-3479,"USNV Underwood
FPO AA 08624",Energy,Cikarang,
T021,2024-01-04,866,30,4719,,,,,,Mcdaniel-Taylor,ifisher@example.org,+1-857-526-3479,"USNV Underwood
FPO AA 08624",Energy,Cikarang,
T021,2024-01-05,835,31,3691,TRX215,475811.0,3.0,Cikarang,No-Default,Mcdaniel-Taylor,ifisher@example.org,+1-857-526-3479,"USNV Underwood
FPO AA 08624",Energy,Cikarang,128.91113519371444
T022,2024-01-01,437,74,2000,,,,,,Mora and Sons,jeffreymoreno@example.org,+1-614-595-9827x69550,"933 Grant Corners
Port Christine, AS 72671",Energy,Jakarta,
T022,2024-01-02,63,19,4816,,,,,,Mora and Sons,jeffreymoreno@example.org,+1-614-595-9827x69550,"933 Grant Corners
Port Christine, AS 72671",Energy,Jakarta,
T022,2024-01-03,343,39,2139,,,,,,Mora and Sons,jeffreymoreno@example.org,+1-614-595-9827x69550,"933 Grant Corners
Port Christine, AS 72671",Energy,Jakarta,
T022,2024-01-04,273,80,927,,,,,,Mora and Sons,jeffreymoreno@example.org,+1-614-595-9827x69550,"933 Grant Corners
Port Christine, AS 72671",Energy,Jakarta,
T022,2024-01-05,490,60,2535,TRX225,356040.0,6.0,Bandung,No-Default,Mora and Sons,jeffreymoreno@example.org,+1-614-595-9827x69550,"933 Grant Corners
Port Christine, AS 72671",Energy,Jakarta,140.44970414201183
T023,2024-01-01,127,40,1811,,,,,,Duke-Walters,matthewhernandez@example.org,467.740.9907x35819,"1505 Schroeder Lights
Brittneyport, CT 47183",FMCG,Surabaya,
T023,2024-01-02,499,65,3436,,,,,,Duke-Walters,matthewhernandez@example.org,467.740.9907x35819,"1505 Schroeder Lights
Brittneyport, CT 47183",FMCG,Surabaya,
T023,2024-01-03,526,90,3512,,,,,,Duke-Walters,matthewhernandez@example.org,467.740.9907x35819,"1505 Schroeder Lights
Brittneyport, CT 47183",FMCG,Surabaya,
T023,2024-01-04,323,49,2633,,,,,,Duke-Walters,matthewhernandez@example.org,467.740.9907x35819,"1505 Schroeder Lights
Brittneyport, CT 47183",FMCG,Surabaya,
T023,2024-01-05,126,20,925,TRX235,472999.0,6.0,Bogor,No-Default,Duke-Walters,matthewhernandez@example.org,467.740.9907x35819,"1505 Schroeder Lights
Brittneyport, CT 47183",FMCG,Surabaya,511.35027027027024
T024,2024-01-01,619,38,2387,,,,,,Davis Ltd,mark69@example.net,547-418-7578,"028 Anderson Isle
North Marymouth, MI 58149",Utilities,Cikarang,
T024,2024-01-02,283,93,1298,,,,,,Davis Ltd,mark69@example.net,547-418-7578,"028 Anderson Isle
North Marymouth, MI 58149",Utilities,Cikarang,
T024,2024-01-03,522,73,1273,,,,,,Davis Ltd,mark69@example.net,547-418-7578,"028 Anderson Isle
North Marymouth, MI 58149",Utilities,Cikarang,
T024,2024-01-04,535,56,4851,,,,,,Davis Ltd,mark69@example.net,547-418-7578,"028 Anderson Isle
North Marymouth, MI 58149",Utilities,Cikarang,
T024,2024-01-05,565,54,3271,TRX245,414783.0,12.0,Surabaya,No-Default,Davis Ltd,mark69@example.net,547-418-7578,"028 Anderson Isle
North Marymouth, MI 58149",Utilities,Cikarang,126.80617548150413
T025,2024-01-01,292,87,3970,,,,,,Hood PLC,riverawhitney@example.net,+1-641-205-9460x92335,"255 Hill Route
North Kelseyhaven, MT 36254",FMCG,Bandung,
T025,2024-01-02,316,30,2739,,,,,,Hood PLC,riverawhitney@example.net,+1-641-205-9460x92335,"255 Hill Route
North Kelseyhaven, MT 36254",FMCG,Bandung,
T025,2024-01-03,410,60,3650,,,,,,Hood PLC,riverawhitney@example.net,+1-641-205-9460x92335,"255 Hill Route
North Kelseyhaven, MT 36254",FMCG,Bandung,
T025,2024-01-04,716,29,2755,,,,,,Hood PLC,riverawhitney@example.net,+1-641-205-9460x92335,"255 Hill Route
North Kelseyhaven, MT 36254",FMCG,Bandung,
T025,2024-01-05,237,57,882,TRX255,18114.0,3.0,Cikarang,No-Default,Hood PLC,riverawhitney@example.net,+1-641-205-9460x92335,"255 Hill Route
North Kelseyhaven, MT 36254",FMCG,Bandung,20.537414965986393
T026,2024-01-01,445,83,2382,,,,,,"Adams, Diaz and Long",jmoore@example.com,(321)276-2580,"531 Madeline Forest Apt. 645
Lake Christopher, AK 11027",Utilities,Bandung,
T026,2024-01-02,789,94,4635,,,,,,"Adams, Diaz and Long",jmoore@example.com,(321)276-2580,"531 Madeline Forest Apt. 645
Lake Christopher, AK 11027",Utilities,Bandung,
T026,2024-01-03,848,67,4722,,,,,,"Adams, Diaz and Long",jmoore@example.com,(321)276-2580,"531 Madeline Forest Apt. 645
Lake Christopher, AK 11027",Utilities,Bandung,
T026,2024-01-04,955,72,1482,,,,,,"Adams, Diaz and Long",jmoore@example.com,(321)276-2580,"531 Madeline Forest Apt. 645
Lake Christopher, AK 11027",Utilities,Bandung,
T026,2024-01-05,34,38,3863,TRX265,466118.0,12.0,Cikarang,No-Default,"Adams, Diaz and Long",jmoore@example.com,(321)276-2580,"531 Madeline Forest Apt. 645
Lake Christopher, AK 11027",Utilities,Bandung,120.66217965311934
T027,2024-01-01,498,68,3072,,,,,,Ruiz PLC,jacksonmatthew@example.com,282.397.2827x0000,"766 Soto Mission
Matthewberg, OR 32635",Utilities,Bogor,
T027,2024-01-02,22,78,958,,,,,,Ruiz PLC,jacksonmatthew@example.com,282.397.2827x0000,"766 Soto Mission
Matthewberg, OR 32635",Utilities,Bogor,
T027,2024-01-03,487,49,4045,,,,,,Ruiz PLC,jacksonmatthew@example.com,282.397.2827x0000,"766 Soto Mission
Matthewberg, OR 32635",Utilities,Bogor,
T027,2024-01-04,481,69,3749,,,,,,Ruiz PLC,jacksonmatthew@example.com,282.397.2827x0000,"766 Soto Mission
Matthewberg, OR 32635",Utilities,Bogor,
T027,2024-01-05,80,14,4400,TRX275,331644.0,3.0,Surabaya,No-Default,Ruiz PLC,jacksonmatthew@example.com,282.397.2827x0000,"766 Soto Mission
Matthewberg, OR 32635",Utilities,Bogor,75.37363636363636
T028,2024-01-01,967,33,4033,,,,,,Caldwell Ltd,kristophershields@example.com,001-564-833-6806x71669,"818 Dixon Lane Apt. 021
Schneiderton, KS 70392",Energy,Surabaya,
T028,2024-01-02,979,88,798,,,,,,Caldwell Ltd,kristophershields@example.com,001-564-833-6806x71669,"818 Dixon Lane Apt. 021
Schneiderton, KS 70392",Energy,Surabaya,
T028,2024-01-03,385,69,2564,,,,,,Caldwell Ltd,kristophershields@example.com,001-564-833-6806x71669,"818 Dixon Lane Apt. 021
Schneiderton, KS 70392",Energy,Surabaya,
T028,2024-01-04,828,43,1370,,,,,,Caldwell Ltd,kristophershields@example.com,001-564-833-6806x71669,"818 Dixon Lane Apt. 021
Schneiderton, KS 70392",Energy,Surabaya,
T028,2024-01-05,313,50,2660,TRX285,220730.0,12.0,Bandung,No-Default,Caldwell Ltd,kristophershields@example.com,001-564-833-6806x71669,"818 Dixon Lane Apt. 021
Schneiderton, KS 70392",Energy,Surabaya,82.9812030075188
T029,2024-01-01,866,90,4067,,,,,,Rodriguez-Sanders,heatherbird@example.com,(554)417-6547x8813,"29095 Yolanda Parkway
East Alanhaven, FM 63867",Energy,Cikarang,
T029,2024-01-02,895,53,2525,,,,,,Rodriguez-Sanders,heatherbird@example.com,(554)417-6547x8813,"29095 Yolanda Parkway
East Alanhaven, FM 63867",Energy,Cikarang,
